Date,^GSPC,^HSI,^N225
2013-11-01,1761.6400146484375,23249.7890625,14201.5703125
2013-11-05,1762.969970703125,23038.94921875,14225.3701171875
2013-11-06,1770.489990234375,23036.939453125,14337.3095703125
2013-11-07,1747.1500244140625,22881.029296875,14228.4404296875
2013-11-08,1770.6099853515625,22744.390625,14086.7998046875
2013-11-11,1771.8900146484375,23069.849609375,14269.83984375
2013-11-12,1767.68994140625,22901.41015625,14588.6796875
2013-11-13,1782.0,22463.830078125,14567.16015625
2013-11-14,1790.6199951171875,22649.150390625,14876.41015625
2013-11-15,1798.1800537109375,23032.150390625,15165.919921875
2013-11-18,1791.530029296875,23660.060546875,15164.2998046875
2013-11-19,1787.8699951171875,23657.810546875,15126.5595703125
2013-11-20,1781.3699951171875,23700.859375,15076.080078125
2013-11-21,1795.8499755859375,23580.2890625,15365.599609375
2013-11-22,1804.760009765625,23696.279296875,15381.7197265625
2013-11-25,1802.47998046875,23684.44921875,15619.1298828125
2013-11-26,1802.75,23681.279296875,15515.240234375
2013-11-27,1807.22998046875,23806.349609375,15449.6298828125
2013-11-29,1805.81005859375,23881.2890625,15661.8701171875
2013-12-02,1800.9000244140625,24038.55078125,15655.0703125
2013-12-03,1795.1500244140625,23910.470703125,15749.66015625
2013-12-04,1792.81005859375,23728.69921875,15407.9404296875
2013-12-05,1785.030029296875,23712.5703125,15177.490234375
2013-12-06,1805.0899658203125,23743.099609375,15299.8603515625
2013-12-09,1808.3699951171875,23811.169921875,15650.2099609375
2013-12-10,1802.6199951171875,23744.189453125,15611.3095703125
2013-12-11,1782.219970703125,23338.240234375,15515.0595703125
2013-12-12,1775.5,23218.119140625,15341.8203125
2013-12-13,1775.3199462890625,23245.9609375,15403.1103515625
2013-12-16,1786.5400390625,23114.66015625,15152.91015625
2013-12-17,1781.0,23069.23046875,15278.6298828125
2013-12-18,1810.6500244140625,23143.8203125,15587.7998046875
2013-12-19,1809.5999755859375,22888.75,15859.2197265625
2013-12-20,1818.3199462890625,22812.1796875,15870.419921875
2013-12-24,1833.3199462890625,23179.55078125,15889.330078125
2013-12-27,1841.4000244140625,23243.240234375,16178.9404296875
2013-12-30,1841.0699462890625,23244.869140625,16291.3095703125
2014-01-06,1826.77001953125,22684.150390625,15908.8798828125
2014-01-07,1837.8800048828125,22712.779296875,15814.3701171875
2014-01-08,1837.489990234375,22996.58984375,16121.4501953125
2014-01-09,1838.1300048828125,22787.330078125,15880.330078125
2014-01-10,1842.3699951171875,22846.25,15912.0595703125
2014-01-14,1838.8800048828125,22791.279296875,15422.400390625
2014-01-15,1848.3800048828125,22902.0,15808.73046875
2014-01-16,1845.8900146484375,22986.41015625,15747.2001953125
2014-01-17,1838.699951171875,23133.349609375,15734.4599609375
2014-01-21,1843.800048828125,23033.119140625,15795.9599609375
2014-01-22,1844.8599853515625,23082.25,15820.9599609375
2014-01-23,1828.4599609375,22733.900390625,15695.8896484375
2014-01-24,1790.2900390625,22450.060546875,15391.5595703125
2014-01-27,1781.56005859375,21976.099609375,15005.73046875
2014-01-28,1792.5,21960.640625,14980.16015625
2014-01-29,1774.199951171875,22141.609375,15383.91015625
2014-01-30,1794.18994140625,22035.419921875,15007.0595703125
2014-02-04,1755.199951171875,21397.76953125,14008.4697265625
2014-02-05,1751.6400146484375,21269.380859375,14180.3798828125
2014-02-06,1773.4300537109375,21423.130859375,14155.1201171875
2014-02-07,1797.02001953125,21636.849609375,14462.41015625
2014-02-10,1799.8399658203125,21579.259765625,14718.33984375
2014-02-12,1819.260009765625,22285.7890625,14800.0595703125
2014-02-13,1829.8299560546875,22165.529296875,14534.740234375
2014-02-14,1838.6300048828125,22298.41015625,14313.0302734375
2014-02-18,1840.760009765625,22587.720703125,14843.240234375
2014-02-19,1828.75,22664.51953125,14766.5302734375
2014-02-20,1839.780029296875,22394.080078125,14449.1796875
2014-02-21,1836.25,22568.240234375,14865.669921875
2014-02-24,1847.6099853515625,22388.560546875,14837.6796875
2014-02-25,1845.1199951171875,22317.19921875,15051.599609375
2014-02-26,1845.1600341796875,22437.439453125,14970.9697265625
2014-02-27,1854.2900390625,22828.1796875,14923.1103515625
2014-02-28,1859.449951171875,22836.9609375,14841.0703125
2014-03-03,1845.72998046875,22500.669921875,14652.23046875
2014-03-04,1873.9100341796875,22657.630859375,14721.48046875
2014-03-05,1873.81005859375,22579.779296875,14897.6298828125
2014-03-06,1877.030029296875,22702.970703125,15134.75
2014-03-07,1878.0400390625,22660.490234375,15274.0703125
2014-03-10,1877.1700439453125,22264.9296875,15120.1396484375
2014-03-11,1867.6300048828125,22269.609375,15224.1103515625
2014-03-12,1868.199951171875,21901.94921875,14830.3896484375
2014-03-13,1846.3399658203125,21756.080078125,14815.98046875
2014-03-14,1841.1300048828125,21539.490234375,14327.66015625
2014-03-17,1858.8299560546875,21473.94921875,14277.669921875
2014-03-18,1872.25,21583.5,14411.26953125
2014-03-19,1860.77001953125,21568.689453125,14462.51953125
2014-03-20,1872.010009765625,21182.16015625,14224.23046875
2014-03-24,1857.43994140625,21846.44921875,14475.2998046875
2014-03-25,1865.6199951171875,21732.3203125,14423.1904296875
2014-03-26,1852.56005859375,21887.75,14477.16015625
2014-03-27,1849.0400390625,21834.44921875,14622.8896484375
2014-03-28,1857.6199951171875,22065.529296875,14696.0302734375
2014-03-31,1872.3399658203125,22151.060546875,14827.830078125
2014-04-01,1885.52001953125,22448.5390625,14791.990234375
2014-04-02,1890.9000244140625,22523.939453125,14946.3203125
2014-04-03,1888.77001953125,22565.080078125,15071.8798828125
2014-04-04,1865.0899658203125,22510.080078125,15063.76953125
2014-04-07,1845.0400390625,22377.150390625,14808.849609375
2014-04-08,1851.9599609375,22596.970703125,14606.8798828125
2014-04-09,1872.1800537109375,22843.169921875,14299.6904296875
2014-04-10,1833.0799560546875,23186.9609375,14300.1201171875
2014-04-11,1815.68994140625,23003.640625,13960.0498046875
2014-04-14,1830.6099853515625,23038.80078125,13910.16015625
2014-04-15,1842.97998046875,22671.259765625,13996.8095703125
2014-04-16,1862.31005859375,22696.009765625,14417.6796875
2014-04-17,1864.8499755859375,22760.240234375,14417.5302734375
2014-04-22,1879.550048828125,22730.6796875,14388.76953125
2014-04-23,1875.3900146484375,22509.640625,14546.26953125
2014-04-24,1878.6099853515625,22562.80078125,14404.990234375
2014-04-25,1863.4000244140625,22223.529296875,14429.259765625
2014-04-28,1869.4300537109375,22132.529296875,14288.23046875
2014-04-30,1883.949951171875,22133.970703125,14304.1103515625
2014-05-02,1881.1400146484375,22260.669921875,14457.509765625
2014-05-07,1878.2099609375,21746.259765625,14033.4501953125
2014-05-08,1875.6300048828125,21837.119140625,14163.7802734375
2014-05-09,1878.47998046875,21862.990234375,14199.58984375
2014-05-12,1896.6500244140625,22261.609375,14149.51953125
2014-05-13,1897.449951171875,22352.380859375,14425.4404296875
2014-05-14,1888.530029296875,22582.76953125,14405.759765625
2014-05-15,1870.8499755859375,22730.859375,14298.2099609375
2014-05-16,1877.8599853515625,22712.91015625,14096.58984375
2014-05-19,1885.0799560546875,22704.5,14006.4404296875
2014-05-20,1872.8299560546875,22834.6796875,14075.25
2014-05-21,1888.030029296875,22836.51953125,14042.169921875
2014-05-22,1892.489990234375,22953.759765625,14337.7900390625
2014-05-23,1900.530029296875,22965.859375,14462.169921875
2014-05-27,1911.9100341796875,22944.30078125,14636.51953125
2014-05-28,1909.780029296875,23080.029296875,14670.9501953125
2014-05-29,1920.030029296875,23010.140625,14681.7197265625
2014-05-30,1923.5699462890625,23081.650390625,14632.3798828125
2014-06-03,1924.239990234375,23291.0390625,15034.25
2014-06-04,1927.8800048828125,23151.7109375,15067.9599609375
2014-06-05,1940.4599609375,23109.66015625,15079.3701171875
2014-06-06,1949.43994140625,22951.0,15077.240234375
2014-06-09,1951.27001953125,23117.470703125,15124.0
2014-06-10,1950.7900390625,23315.740234375,14994.7998046875
2014-06-11,1943.8900146484375,23257.2890625,15069.48046875
2014-06-12,1930.1099853515625,23175.01953125,14973.5302734375
2014-06-13,1936.1600341796875,23319.169921875,15097.83984375
2014-06-16,1937.780029296875,23300.669921875,14933.2900390625
2014-06-17,1941.989990234375,23203.58984375,14975.9697265625
2014-06-18,1956.97998046875,23181.720703125,15115.7998046875
2014-06-19,1959.47998046875,23167.73046875,15361.16015625
